swedish,english,fail,pass,used
ägg,egg,0,0,0
ägget,the egg,0,0,0
älg,moose,0,0,0
älskar,love,0,0,0
än,than,0,0,0
anka,duck,0,0,0
ankan,the duck,0,0,0
ant,och,0,0,0
apelsin,orange,0,0,0
äpplet,the apple,0,0,0
är,are,0,0,0
år,year,0,0,0
arbeta,work,0,0,0
arbetade,worked,0,0,0
arbetar,working,0,0,0
äta,eat,0,0,0
äter,eats/eating,0,0,0
ätit,ate,0,0,0
åtta,eight,0,0,0
även,even,0,0,0
bara,only,0,0,0
barn,child,0,0,0
barnet,the child,0,0,0
bestäm,decide,0,0,0
bestämde,decided,0,0,0
bil,car,0,0,0
blont,blond,0,0,0
böcker,books,0,0,0
bok,book,0,0,0
bor,live,0,0,0
bra,good,0,0,0
brev,letter,0,0,0
bröd,bread,0,0,0
bröder,brothers,0,0,0
bror,brother,0,0,0
brunt,brown,0,0,0
citron,lemon,0,0,0
crab,krabba,0,0,0
dag,day,0,0,0
de,they,0,0,0
detta,this,0,0,0
dricker,drink,0,0,0
dryck,drink,0,0,0
efter,after,0,0,0
efter,after,0,0,0
eftersom/sedan,since,0,0,0
elefanten,the elephant,0,0,0
elva,eleven,0,0,0
en,a,0,0,0
en/ett,one,0,0,0
ett,an,0,0,0
fågel,bird,0,0,0
far,father,0,0,0
färg,color,0,0,0
färger,colors,0,0,0
färgglad,colorful,0,0,0
fem,five,0,0,0
fisk,fish,0,0,0
flaska,bottle,0,0,0
fläskkött,pork/pork meat,0,0,0
flera,several,0,0,0
flicka,girl,0,0,0
flickan,the girl,0,0,0
flickvän,girlfriend,0,0,0
fönster,window,0,0,0
fönstret,the window,0,0,0
för,for,0,0,0
förut,before,0,0,0
fredag,Friday,0,0,0
frukost,breakfast,0,0,0
frukost,breakfast,0,0,0
frukt,fruit,0,0,0
fyra,four,0,0,0
gå,go,0,0,0
gaffel,fork,0,0,0
gammal,old,0,0,0
gänger,times,0,0,0
går,goes/going,0,0,0
gjort,done,0,0,0
glas,glass,0,0,0
glass,ice cream,0,0,0
glömma,forget,0,0,0
god morgon,good morning,0,0,0
hallå,hello,0,0,0
han,he,0,0,0
hans,his,0,0,0
hans/sin,his,0,0,0
har,have/has,0,0,0
här,here,0,0,0
hår,hair,0,0,0
häst,horse,0,0,0
hej,hello,0,0,0
hej då,goodbye,0,0,0
hem,home,0,0,0
hemma,at home,0,0,0
henne,here,0,0,0
hennes,her,0,0,0
heter,called/named,0,0,0
hitta,find,0,0,0
hon,she,0,0,0
hund,dog,0,0,0
hundar,dogs,0,0,0
hunden,the dog,0,0,0
hur,how,0,0,0
hus,house,0,0,0
huset,the house,0,0,0
i,in,0,0,0
idag,today,0,0,0
igår,yesterday,0,0,0
imorgon,tomorrow,0,0,0
inte,not,0,0,0
jag,I,0,0,0
jordgubbe,strawberry,0,0,0
juice,juice,0,0,0
kaffe,coffee,0,0,0
katt,cat,0,0,0
katten,the cat,0,0,0
klock,clock,0,0,0
klockan,the clock,0,0,0
kniv,knife,0,0,0
kock,cook,0,0,0
kockar,cooks,0,0,0
konstnär,artist,0,0,0
köp,buy,0,0,0
kopp,cup,0,0,0
köpte,bought,0,0,0
kött,meat,0,0,0
kusin,cousin,0,0,0
kusiner,cousins,0,0,0
kvinna,woman,0,0,0
kvinnan,the women,0,0,0
kvinnor,women,0,0,0
kyckling,chicken,0,0,0
lägenhet,apartment,0,0,0
läkare,doctor,0,0,0
länge,long,0,0,0
längre,longer,0,0,0
lärare,teacher,0,0,0
läsa,read,0,0,0
läser,reads/reading,0,0,0
liknar,look like,0,0,0
lite ,a little,0,0,0
lördag,Saturday,0,0,0
lunch,lunch,0,0,0
målare,painter,0,0,0
måltid,meal,0,0,0
man,man,0,0,0
män,men,0,0,0
måndag,Monday,0,0,0
många,many,0,0,0
mannen,the man,0,0,0
mat,food,0,0,0
med,with,0,0,0
men,but,0,0,0
meny,menu,0,0,0
middag,dinner,0,0,0
mig,me,0,0,0
min/mina,my/mine,0,0,0
min/mitt,my/mine,0,0,0
mjölk,milk,0,0,0
moose,älg,0,0,0
mor,mother,0,0,0
mycket,very,0,0,0
några,a few/some,0,0,0
nära,near,0,0,0
nästa,next,0,0,0
natt,night,0,0,0
nej,no,0,0,0
ni/du,you(p)/you(s),0,0,0
nio,nine,0,0,0
noll,zero/null,0,0,0
nötkött,beef/beaf meat,0,0,0
nya,new,0,0,0
och,and,0,0,0
ofta,often,0,0,0
öga,eye,0,0,0
ögon,eyes,0,0,0
öl,beer,0,0,0
olik/olika,different,0,0,0
olja,oil,0,0,0
onsdag,Wednesday,0,0,0
öppna,open,0,0,0
ost,cheese,0,0,0
på,on/at/in,0,0,0
pasta,pasta,0,0,0
pensionär,pensioner,0,0,0
peppar,pepper,0,0,0
pojkar,boys,0,0,0
pojkarna,the boys,0,0,0
pojke,boy,0,0,0
pojken,the boy,0,0,0
pratar,speaking,0,0,0
reindeer,ren,0,0,0
restaurang,restaurant,0,0,0
ris,rice,0,0,0
så,so,0,0,0
saker,things,0,0,0
salt,salt,0,0,0
samma,same,0,0,0
sätt/väg,way,0,0,0
sex,six,0,0,0
simm,swim,0,0,0
simmar,swimming,0,0,0
sju,seven,0,0,0
sjukhus,hospital,0,0,0
sjuksköterska,nurse,0,0,0
skärp,belt,0,0,0
sked,spoon,0,0,0
sköldpadd,turtle,0,0,0
skriv,write,0,0,0
skriver,writing,0,0,0
skulle,would,0,0,0
smörgås,sandwich,0,0,0
snäll,kind,0,0,0
snälla,please,0,0,0
snart,soon,0,0,0
socker,sugar,0,0,0
som,as,0,0,0
söndag,Sunday,0,0,0
soppa,soup,0,0,0
soppan,the soup,0,0,0
sova,sleep,0,0,0
sover,sleeping,0,0,0
spider,spindel,0,0,0
stan,town,0,0,0
storebror,big brother,0,0,0
svart,black,0,0,0
Svenska,Swedish,0,0,0
Sverige,Sweden,0,0,0
syster,sister,0,0,0
systrar,sisters,0,0,0
ta,take,0,0,0
tack,thanks,0,0,0
talar,speak,0,0,0
tallrik,plate,0,0,0
tallrik,place,0,0,0
te,tea,0,0,0
the ant,myran,0,0,0
the crab,krabban,0,0,0
the duck,ankan,0,0,0
the moose,älgen,0,0,0
the reindeer,renen,0,0,0
the spider,spindeln,0,0,0
the turtle,sköldpaddan,0,0,0
the wolf,vargen,0,0,0
tid,time,0,0,0
tidning,newspaper,0,0,0
till,to,0,0,0
tillsammans,together,0,0,0
tio,ten,0,0,0
tisdag,Tuesday,0,0,0
tolv,twelve,0,0,0
tomat,tomato,0,0,0
torsdag,Thursday,0,0,0
träd,tree,0,0,0
träffa,meet,0,0,0
tre,three,0,0,0
två,two,0,0,0
tvillingar,twins,0,0,0
tycker/gillar,like,0,0,0
ung,young,0,0,0
ursäkta,excuse me,0,0,0
vad,what,0,0,0
välkommen,welcome,0,0,0
vän,friend,0,0,0
vänlig/vänliga,friendly,0,0,0
vänner,friends,0,0,0
vår,our,0,0,0
varandra,each other,0,0,0
varsågod,you're welcome,0,0,0
vårt,ours,0,0,0
vatten,water,0,0,0
vecka,week,0,0,0
veckan,the week,0,0,0
veta,know,0,0,0
vi,we,0,0,0
viktig,important,0,0,0
vilket,which,0,0,0
vill,want,0,0,0
vin,wine,0,0,0
vine,wine,0,0,0
vit,white,0,0,0
wolf,varg,0,0,0
yngre,younger,0,0,0
